Ch#,Title,Act,Ω,RRP,CLS,SII,BIS,MRF,Words,CL-MoE,Fix_Priority,Tier,Ω_Computed,CLS_Gap,BIS_Gap,SII_Gap,MRF_Gap
13,Proud Warriors,I,108,92,97,92,90,88,5583,4.2999999999999997E-2,LOW,Omega Elite,108.17500000000001,7.0822222222222138,0.87777777777777999,-0.31555555555554804,-1.37777777777778
14,Package Sacrament,I,107,91,99,92,82,88,5217,5.7000000000000002E-2,LOW,Omega Elite,107.479,9.0822222222222138,-7.12222222222222,-0.31555555555554804,-1.37777777777778
15,Move Like Water,I,108,92,99,94,87,86,5438,5.6000000000000001E-2,LOW,Omega Elite,108.113,9.0822222222222138,-2.12222222222222,1.684444444444452,-3.37777777777778
16,My Lai Massacre,I,107,88,88,90,92,83,5200,0.04,LOW,Omega Elite,106.78199999999998,-1.9177777777777862,2.87777777777778,-2.315555555555548,-6.37777777777778
17,Boundary Shift Equation,I,105,83,77,93,88,85,5774,0.04,MED,Omega Elite,105.34700000000001,-12.917777777777786,-1.12222222222222,0.68444444444445196,-4.37777777777778
18,Broken Wing,II,108,91,90,98,88,95,6113,0.04,LOW,Omega Elite,108.07399999999998,8.2222222222213759E-2,-1.12222222222222,5.684444444444452,5.62222222222222
19,Los Obligados,II,106,88,94,88,86,79,5717,7.6999999999999999E-2,LOW,Omega Elite,106.372,4.0822222222222138,-3.12222222222222,-4.315555555555548,-10.37777777777778
20,The Genesis Equation,II,105,83,83,88,84,77,5401,0.04,LOW,Omega Elite,104.63799999999999,-6.9177777777777862,-5.12222222222222,-4.315555555555548,-12.37777777777778
21,El Cazador y El Guardian,II,109,93,98,90,92,91,4978,7.4999999999999997E-2,LOW,Omega Elite,108.55799999999999,8.0822222222222138,2.87777777777778,-2.315555555555548,1.62222222222222
22,Dont Fuck with Familia,II,107,90,97,90,93,73,5088,7.3999999999999996E-2,LOW,Omega Elite,107.34600000000002,7.0822222222222138,3.87777777777778,-2.315555555555548,-16.37777777777778
23,The Eagle and the Sparrow,II,108,92,94,92,93,93,5537,4.1000000000000002E-2,LOW,Omega Elite,108.492,4.0822222222222138,3.87777777777778,-0.31555555555554804,3.62222222222222
24,Sacred Heart Briefing,II,107,89,87,92,87,98,5430,0.04,LOW,Omega Elite,107.251,-2.9177777777777862,-2.12222222222222,-0.31555555555554804,8.62222222222222
25,Sacred Heart - The Battle,II,107,87,84,95,85,93,5337,0.04,LOW,Omega Elite,106.57499999999999,-5.9177777777777862,-4.12222222222222,2.684444444444452,3.62222222222222
26,Echoes of an Empire,II,106,85,77,90,92,92,6151,0.04,MED,Omega Elite,106.021,-12.917777777777786,2.87777777777778,-2.315555555555548,2.62222222222222
27,Hunters Geometry,II,107,89,89,92,90,91,4903,4.2000000000000003E-2,LOW,Omega Elite,107.384,-0.91777777777778624,0.87777777777777999,-0.31555555555554804,1.62222222222222
28,Cruzan o Nadie Cruzan,II,107,89,90,95,89,86,6123,0.04,LOW,Omega Elite,107.32199999999999,8.2222222222213759E-2,-0.12222222222222001,2.684444444444452,-3.37777777777778
29,Mathematics of Revolution,II,105,83,75,90,92,85,5423,0.04,HIGH,Omega Elite,105.304,-14.917777777777786,2.87777777777778,-2.315555555555548,-4.37777777777778
30,Orchestrating Necessary Evil,II,108,90,90,92,86,99,4708,0.04,LOW,Omega Elite,107.57199999999999,8.2222222222213759E-2,-3.12222222222222,-0.31555555555554804,9.62222222222222
31,Retreat Hell,II,109,95,99,90,91,99,4798,7.2999999999999995E-2,LOW,Omega Elite,109.1,9.0822222222222138,1.87777777777778,-2.315555555555548,9.62222222222222
32,Corridor of Fire,II,108,91,93,90,89,94,6276,0.04,LOW,Omega Elite,107.785,3.0822222222222138,-0.12222222222222001,-2.315555555555548,4.62222222222222
33,Angels from Above,III,107,87,85,95,88,88,5512,0.04,LOW,Omega Elite,106.718,-4.9177777777777862,-1.12222222222222,2.684444444444452,-1.37777777777778
34,Sixty-Eight,III,108,92,97,90,90,92,5449,4.4999999999999998E-2,LOW,Omega Elite,108.26500000000001,7.0822222222222138,0.87777777777777999,-2.315555555555548,2.62222222222222
35,The Birthday Brief,III,108,91,95,95,85,94,5409,7.9000000000000001E-2,LOW,Omega Elite,108.006,5.0822222222222138,-4.12222222222222,2.684444444444452,4.62222222222222
36,Mission Execution,III,106,85,82,92,92,77,5451,0.04,LOW,Omega Elite,105.81399999999999,-7.9177777777777862,2.87777777777778,-0.31555555555554804,-12.37777777777778
37,The Mathematics of Revenge,III,106,86,86,90,87,83,5205,0.04,LOW,Omega Elite,105.94400000000002,-3.9177777777777862,-2.12222222222222,-2.315555555555548,-6.37777777777778
38,Last Dance,III,108,89,84,97,92,95,5738,0.04,LOW,Omega Elite,107.71299999999998,-5.9177777777777862,2.87777777777778,4.684444444444452,5.62222222222222
39,When Compadres Fall,III,110,96,99,90,96,99,9909,5.8000000000000003E-2,LOW,Omega Elite,109.69,9.0822222222222138,6.87777777777778,-2.315555555555548,9.62222222222222
40,Ares: Death of a God,III,109,96,93,98,97,94,4938,4.2000000000000003E-2,HIGH,Omega Elite,109.44099999999999,3.0822222222222138,7.87777777777778,5.684444444444452,4.62222222222222
41,Adios Muchachos,III,106,86,78,90,93,92,5533,0.04,MED,Omega Elite,106.26300000000001,-11.917777777777786,3.87777777777778,-2.315555555555548,2.62222222222222
42,Sacred Smoke,III,108,91,91,98,89,93,5288,4.5999999999999999E-2,LOW,Omega Elite,108.18199999999999,1.0822222222222138,-0.12222222222222001,5.684444444444452,3.62222222222222
43,Resurrection at the Capitol,III,108,91,88,94,90,98,5192,0.04,LOW,Omega Elite,107.907,-1.9177777777777862,0.87777777777777999,1.684444444444452,8.62222222222222
44,The Exile Patriots,III,107,88,87,92,93,84,5605,0.04,LOW,Omega Elite,107.021,-2.9177777777777862,3.87777777777778,-0.31555555555554804,-5.37777777777778
45,Unidos para Siempre,III,109,94,99,93,86,99,5702,5.7000000000000002E-2,LOW,Omega Elite,108.77699999999999,9.0822222222222138,-3.12222222222222,0.68444444444445196,9.62222222222222
